Ecological service;Class;Potential keywords
Provisioning;"Fishing, hunting, gathering; Wild animals used for Nutritional purposes";hunting
Provisioning;"Fishing, hunting, gathering; Wild animals used for Nutritional purposes";fishing
Provisioning;"Fishing, hunting, gathering; Wild animals used for Nutritional purposes";foraging
Provisioning;"Fishing, hunting, gathering; Wild animals used for Nutritional purposes";fishery
Provisioning;"Fishing, hunting, gathering; Wild animals used for Nutritional purposes";fisheries
Provisioning;"Fishing, hunting, gathering; Wild animals used for Nutritional purposes";seafood
Regulationandmaintenance;Filtration/sequestration/;water filtration
Regulationandmaintenance;Filtration/sequestration/;water purification
Regulationandmaintenance;Filtration/sequestration/;water cleaning
Regulationandmaintenance;Filtration/sequestration/;filter-feeders
Regulationandmaintenance;Filtration/sequestration/;filter-feeder
Regulationandmaintenance;Filtration/sequestration/;filter feeder
Regulationandmaintenance;Filtration/sequestration/;pollutant breakdown
Regulationandmaintenance;Filtration/sequestration/;pollutant sequestration
Regulationandmaintenance;Filtration/sequestration/;biochemical cycling
Regulationandmaintenance;"Reproduction; nursery populations and habitats, breeding grounds biochemical cycling";reproduction ground
Regulationandmaintenance;"Reproduction; nursery populations and habitats, breeding grounds biochemical cycling";habitat maintenance
Regulationandmaintenance;"Reproduction; nursery populations and habitats, breeding grounds biochemical cycling";nursery area
Regulationandmaintenance;"Reproduction; nursery populations and habitats, breeding grounds biochemical cycling";habitat creation
Regulationandmaintenance;"Reproduction; nursery populations and habitats, breeding grounds biochemical cycling";nesting sites
Regulationandmaintenance;Coastal protection;wave dissipation
Cultural;Culture/Recreatin/Knowledgel ;recreation
Cultural;Culture/Recreatin/Knowledgel ;ecotourism
Cultural;Culture/Recreatin/Knowledgel ;information developpment
Cultural;Culture/Recreatin/Knowledgel ;conservation activity
Cultural;Culture/Recreatin/Knowledgel ;sports
Cultural;Culture/Recreatin/Knowledgel ;sport
Cultural;Culture/Recreatin/Knowledgel ;cultural heritage