Category;Keyword;Group
Biologicalinvasions;biological invasion;threat
Biologicalinvasions;invasive species;threat
Climatechange;extreme weather;threat
Climatechange;more extreme weather;threat
Climatechange;ocean acidification;threat
Climatechange;rising of sea level;threat
Climatechange;rising of the sea level;threat
Climatechange;rising sea level;threat
Climatechange;rising temperature;threat
Coastaldevelopmentandprotection;coastal armoring;threat
Coastaldevelopmentandprotection;groynes;threat
Coastaldevelopmentandprotection;intertidal seawalls;threat
Coastaldevelopmentandprotection;nourishment;threat
Coastaldevelopmentandprotection;shoreline adjustment;threat
Erosion;disturbance;threat
Erosion;storms;threat
Exploitation;mining;threat
Exploitation;overfishing;threat
Pollution;heavy metal;threat
Pollution;heavy mineral;threat
Pollution;light pollution;threat
Pollution;litter;threat
Pollution;microplastic;threat
Pollution;oil;threat
Pollution;plastic;threat
Pollution;sewage;threat
Pollution;sound pollution;threat
Pollution;thermal pollution;threat
Pollution;waste water;threat
Pollution;wastewater;threat
Recreation;bait collection;threat
Recreation;beach cleaning;threat
Recreation;disturbance of shore bird;threat
Recreation;disturbance of shore bird;threat
Recreation;infrastructure;threat
Recreation;off-road vehicle;threat
Recreation;recreation;threat
Recreation;trampling;threat